latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,meter
6.2831,126.8269,106.06,4.7,86,1.465,0.74,7.6,5.1,0.069,64
6.1843,126.866,106.48,4.6,88,1.551,0.9,8.6,6.9,0.068,65
-8.3857,119.8867,172.33,4.4,99,2.338,0.85,7.7,15.2,0.189,8
4.1398,126.6313,32.96,4.3,158,3.093,0.63,8.2,7,0.116,21
-9.3547,120.9223,123.94,4.2,72,1.482,1.02,9.3,8.1,0.152,12
-7.834,116.825,292.26,4.2,87,2.72,1.06,8.9,8.3,0.095,31
-4.3179,102.1873,52.09,4.8,94,0.767,1.02,7,1.7,0.077,52
-6.168,101.9688,10,4.4,109,2.047,0.74,6.3,1.9,0.112,23
-0.2797,123.6999,127.24,4.5,59,1.197,1.15,6.1,2.7,0.101,29
-5.7409,110.6514,542.41,4.2,28,1.316,0.43,10.7,3.2,0.081,42
-8.1452,106.8825,36.06,4.1,104,1.5,1.09,7.3,4.3,0.151,12
5.4885,124.9095,39.61,5.1,60,1.706,0.96,5.4,5.2,0.073,18
-7.2317,123.1615,221.64,4.1,175,1.668,0.32,12.5,13.6,0.174,9
-9.4447,123.4407,105.99,4.3,140,0.871,0.48,7.4,8.5,0.216,6
-9.373,123.466,103.33,4.6,66,0.876,1.06,5.8,5.3,0.087,40
-2.8144,101.0362,48.14,4.9,40,2.455,0.94,7,4.6,0.089,12
-5.4688,104.9811,134.83,4.1,129,2.298,0.5,6.5,9.3,0.14,14
4.0975,125.8253,10,4.2,171,5.846,0.58,12.8,2,0.152,12
4.0803,126.7919,23.79,5.7,47,3.205,1.01,6,3.3,0.062,25
2.3933,125.8698,122.8,4.3,107,2.198,1.34,10.8,8.1,0.092,33
-9.7495,112.9113,47.54,4.6,65,1.765,1.07,7.4,7.5,0.086,40
-3.3965,127.5995,65.02,4.4,88,4.147,1.29,9.6,10.1,0.155,12
5.1878,126.3384,54.79,4.5,114,2.016,0.73,8.2,8.3,0.089,37
-7.0393,125.3867,476.89,4.1,56,2.917,0.8,14.1,12.2,0.145,13
1.0208,120.2968,17.83,4.3,93,0.493,0.74,7,6.8,0.13,18
0.5059,121.1248,98.34,4.8,59,0.692,0.99,7.1,6.9,0.113,24
-6.8751,125.2941,532.61,4.6,40,3.036,0.62,6.3,7.7,0.067,66
1.8311,127.3453,116.35,4.5,106,1.052,0.64,8.6,7.1,0.061,79
-4.3014,102.2395,53.4,4.3,105,0.716,0.91,6.5,6.7,0.137,15
3.1129,127.6432,96.67,4.5,108,2.341,0.64,9,8,0.065,69
4.0053,126.5188,34.59,5.1,43,3.184,0.77,6.2,4.1,0.073,18
3.644,127.3339,17.89,4.4,118,2.853,1.31,6,6,0.12,20
2.5253,95.8889,30.45,4.4,198,2.076,0.51,11.7,7.5,0.169,10
-7.4868,125.1966,363.13,4.2,46,2.434,1.1,10,9.6,0.141,14
-7.7717,106.3932,35,4.5,68,1.534,1.23,5.3,2,0.115,25
-9.1504,112.4266,51.76,4.2,62,1.834,0.88,6.7,8,0.146,13
-7.9502,119.8906,231.36,4.6,69,2.42,0.71,8,1.2,0.087,39
-4.3445,101.9407,44.72,4.7,86,1.012,1.15,6.2,6.5,0.067,68
-1.1325,100.7495,77.28,4.1,132,1.477,0.54,7,8.3,0.158,11
3.2855,126.9464,55.36,4.9,109,2.532,0.81,7.7,7.3,0.067,71
-0.638,124.4286,57.24,4.3,75,1.704,1.02,8.4,8.3,0.111,23
-10.7883,113.6408,10,4.4,70,2.358,0.81,10.3,1.9,0.13,17
5.1195,126.6713,80.84,4.2,177,2.221,1.04,12.5,10.3,0.146,13
2.0025,126.733,11.04,4.2,147,1.376,0.91,6.4,6.4,0.141,14
-9.848,120.1015,62.17,4,78,2.428,0.99,8.5,9.9,0.172,9
9.1726,126.3135,10,4.5,142,2.212,1.14,7.2,1.9,0.145,14
-9.1053,123.8899,97.15,4.7,74,0.745,1.08,7,7,0.101,30
0.0655,123.4742,143.05,4.9,55,1.305,1.11,8.3,4.2,0.06,88
5.0257,127.0954,35,4.3,153,25.662,0.38,11.1,1.9,0.133,16
-6.461,128.2362,313.32,4.6,54,3.393,0.9,8.2,9.4,0.132,17
-7.084,125.2463,487.08,4.4,60,2.825,0.66,12.3,7.7,0.108,25
1.3286,127.2401,159.15,4.3,103,0.567,0.75,10.7,6.3,0.099,29
2.6898,122.3377,543.81,4.2,74,2.208,0.97,10.1,8.7,0.071,55
2.3062,128.1882,31.39,4.7,105,1.731,0.95,8.1,5.9,0.087,40
-1.8608,100.3584,46.74,4.6,121,2.276,1.4,7.8,6.2,0.104,28
-11.3604,118.6853,24.67,4.3,101,5.309,1.17,4.6,8.2,0.154,12
7.7562,126.551,70.76,4.7,99,1.18,0.64,8.2,7.4,0.061,82
-0.1203,123.7871,107.9,4.1,76,1.367,0.48,7.7,6.7,0.13,16
-2.7072,122.3859,52.09,4.3,51,1.698,0.97,7.1,9,0.148,13
-2.4692,99.7379,34.59,4.3,205,3.066,0.97,10.7,8.1,0.202,7
-7.8842,106.8195,44,5.2,27,1.316,0.99,6.3,1.8,0.075,17
0.6,122.3305,89.11,4.9,61,1.629,0.99,5.2,7.1,0.085,43
-7.4494,107.0853,83.48,4.3,137,3.438,0.93,11.5,3.9,0.137,15
-8.6435,103.7996,15.74,4.6,138,2.582,1.34,7.3,4.3,0.272,4
-7.4921,108.1743,90,6.5,28,2.365,1.07,8,1.8,0.058,29
-7.1171,106.5908,83.56,4,110,3.468,0.98,8.9,9.9,0.126,17
2.4004,98.9469,133.85,4.6,70,0.292,0.86,3.7,6.1,0.087,39
-8.1894,123.8602,163.38,4.3,68,1.607,1.38,6.9,7.2,0.1,28
5.7124,123.9416,535.15,4.1,107,5.445,0.61,13.3,10.3,0.067,61
2.3144,128.0641,30.8,4.6,134,1.683,0.62,11.4,6.5,0.103,28
-7.1269,107.0917,100.75,5,89,3.324,0.92,7.9,2.1,0.1,32
1.7353,127.3568,99.57,4.6,126,0.957,1.03,9.7,4,0.101,29
2.0267,128.0791,10,4.3,142,1.435,0.67,7.8,1.9,0.129,17
-9.7799,119.484,71.08,4.2,92,2.946,1.13,8.7,10.3,0.118,20
0.4582,126.4248,57.62,4.5,88,0.992,1.17,8.4,5.5,0.135,16
0.5003,123.5532,237.49,4.1,75,1.719,0.43,8.3,5.4,0.135,15
-6.299,125.4445,482.27,4.1,179,3.626,1.16,19,18.2,0.197,7
-6.9198,126.5077,432.93,4.3,96,3.585,0.59,9.1,10.1,0.138,15
-9.1162,121.9425,89.59,4.1,134,0.559,1.38,9,9.1,0.165,10
1.1417,97.3018,37.07,4.3,192,0.317,0.51,10.2,6.8,0.138,15
3.3034,97.5357,77.61,4.5,44,1.986,1.06,6.3,7.1,0.07,64
0.2888,124.9673,129.01,4.4,71,2.446,1.11,8.3,8.2,0.094,33
5.79,127.0512,59.83,4.7,108,1.938,0.7,6.7,7.8,0.069,64
-5.028,102.9493,53.36,5.3,22,0.663,0.9,5.7,1.5,0.042,191
1.0246,128.1098,10,4.4,152,0.784,0.8,6.8,1.9,0.13,17
1.4788,126.8539,118.08,4.3,101,0.869,0.52,9,6.6,0.111,23
-0.791,125.1615,53.88,4.8,52,2.402,1.2,7.4,8.2,0.102,30
-0.6292,123.6788,45.75,4.2,81,0.995,0.81,8.2,5.7,0.199,7
-0.6299,123.6681,28,5.5,31,0.985,0.99,6.2,1.8,0.06,27
-6.4303,128.0344,322.82,4.5,67,3.587,0.7,8,5.2,0.096,32
0.6124,122.3217,197.34,4.3,128,1.617,1.1,7.8,8.5,0.138,15
1.3,122.3933,57.48,4.6,67,1.622,1.21,5.8,8.3,0.098,31
4.3465,126.9992,10,4.3,119,3.569,0.5,10.4,1.9,0.178,9
1.6323,127.0078,70.98,4.1,107,0.927,0.54,10.6,6.7,0.145,13
-3.1108,102.1648,45.54,5.1,30,1.471,0.78,6.6,5.6,0.048,142
-7.0312,127.4534,337.13,4.2,82,3.928,1.03,10.2,10.4,0.159,13
1.1554,97.1806,33.9,4.2,114,0.421,0.79,9.9,7.3,0.186,10
-7.638,127.5378,172.88,4.6,50,3.742,1.04,7.8,7,0.092,35
2.2762,126.8024,35,4.7,107,1.597,1.14,6.2,1.9,0.069,63
2.2348,126.7731,35,5.3,27,1.569,1.29,6.6,1.8,0.071,19
-9.6932,123.0962,60.98,5,65,5.71,1.22,8.5,5.5,0.103,9
-0.1244,124.9717,69.77,4.5,62,2.381,0.89,6.6,10.2,0.124,19
-5.2635,128.0972,329.93,4.3,61,4.172,0.83,8,8.2,0.093,33
-1.1849,127.7012,21.88,4.8,106,1.972,0.86,3.8,6.1,0.095,34
4.6206,127.6919,126.56,4.7,61,3.215,0.62,8.5,6.8,0.056,95
-0.1786,124.7512,90.66,4.1,63,2.157,1.05,7.9,9.1,0.127,17
-7.5836,105.7895,28.89,4.2,134,2.881,1.46,8,7.4,0.216,6
-2.0068,124.691,58.58,4,127,2.144,0.52,9.7,11.9,0.212,6
2.4063,122.9322,467.58,4.3,135,2.505,1.19,11.9,8.8,0.129,17
-5.4164,125.5881,78.64,4.1,54,4.505,0.99,7.5,23.7,0.174,9
7.745,124.9782,13.7,4.7,109,0.897,0.79,9.3,5.1,0.074,55
-9.4154,112.9803,59.76,4.5,167,1.49,0.64,5.5,9,0.093,34
-9.2253,123.5683,133.16,4.4,104,0.867,1.29,9.1,4.6,0.123,19
-9.5652,118.4423,100.3,4.3,84,3.86,1.14,7.7,10.4,0.16,11
7.4028,126.6988,58.12,5.1,92,1.159,0.67,8.8,5.1,0.04,201
2.8956,127.3962,91.32,4.1,117,2.109,0.49,12.5,11.3,0.186,8
-8.6273,123.6156,119.52,4.4,58,1.292,0.86,6.1,7.2,0.081,44
-7.9166,120.1921,210.71,4.3,121,2.916,0.96,10.1,8.9,0.148,13
-7.1672,126.71,340.17,4.1,97,3.528,0.73,8.4,10.3,0.234,5
2.8938,125.9935,85.89,4.5,81,2.515,0.58,8,5.1,0.121,20
3.99,126.673,10,4.7,113,3.271,0.79,6,1.8,0.089,38
-5.4972,126.2744,487.61,4.8,25,4.675,1.08,10.2,7.1,0.064,75
3.9746,126.9613,4.35,4.3,140,3.368,0.61,9.5,7.3,0.133,16
1.492,98.9241,106.88,4.5,121,1.193,0.55,4.9,7.9,0.135,16
2.4635,128.1326,10,4.4,121,1.846,1.28,6.1,1.9,0.162,11
-7.2529,125.9504,470.39,4.5,39,2.992,0.56,11.6,9.7,0.139,15
-5.811,105.7043,24.25,4.8,45,3.058,1.12,8.7,2.8,0.074,56
-3.7297,101.3591,29.4,4.2,191,1.711,0.79,12.2,8.8,0.141,14
-7.5672,127.9286,156.06,4.3,54,3.365,0.84,8.2,9.7,0.147,13
-6.637,125.614,540.87,4.4,52,3.372,0.89,9.4,13.8,0.138,15
6.01,125.8552,74.54,4.5,108,1.087,0.87,9.8,7.3,0.077,50
